,AmbienteOut,AmbienteIn,Techo,Piso,Norte,Sur,Este,Oeste,Puerta,Ventana,Qin
1188,32.39583764017556,28.89697817120392,29.247194513648086,26.277669134578804,29.057137379089575,29.985171137266597,29.76963996719608,29.60172059513317,29.657173415995636,30.730958108282984,-1.3149940704179783
1189,32.08819356411507,28.921570980077412,29.255771357950085,26.288615064371534,29.10069279379685,30.021000636809443,29.776813432569195,29.65063576453163,29.71255833396238,30.650302474713527,-1.5098313953478977
1190,31.851750853242308,28.945040072626963,29.26316545265028,26.299650331389216,29.143754656420185,30.05454185859992,29.78309423352782,29.697049732370694,29.76463379029938,30.56918068312253,-1.7097317806563832
1191,31.635205265724057,28.967493648105094,29.26946648742888,26.310765667768155,29.18631062141593,30.08577909328658,29.78843468401364,29.740934951541078,29.81347623316197,30.487697545213805,-1.9148994808732278
1192,31.409811799122384,28.988898303800134,29.27471328098737,26.32195190464244,29.228269085250567,30.114706811320087,29.792795294217328,29.78227690620965,29.85916008630696,30.405890966833198,-2.124708579651102
1193,31.18181667479277,29.00922696363705,29.27890957467262,26.333199737893977,29.269490283725908,30.141327239421038,29.79614280665297,29.821071311685188,29.901757479149502,30.32377021637972,-2.338013158059275
1194,31.292670892247664,29.0284579993899,29.282045264827218,26.344499767360222,29.309952649258275,30.165649269841907,29.798449504696702,29.85732269048636,29.941338360872376,30.24133469448569,-2.552426757713154
1195,31.50822086786933,29.04681587011259,29.284206419520135,26.355843984294236,29.349648989508786,30.187693538049455,29.79969863615493,29.89104915547103,29.977972637944426,30.158616026649423,-2.773478268791255
1196,31.561,29.06372339478804,29.28501635058857,26.367222426105624,29.38857731501446,30.207412628143274,29.799833164900946,29.92225289578286,30.0114565816209,30.0554180117655,-3.0053549917649534
1197,31.561,29.0787469034923,29.28394955688816,26.378620717896283,29.426777561625464,30.22464958083686,29.798728062590392,29.950902657386436,30.041670804728565,29.930467364519686,-3.246257551056257
1198,31.258949293027797,29.092111834712448,29.28096777313573,26.390024373008828,29.464185203602085,30.239234174015948,29.796252517196287,29.976968465536178,30.068682485191246,29.79705773802439,-3.496027920587701
1199,30.854233057045317,29.10376995405696,29.276177126273048,26.401419470955826,29.500692221819385,30.251030150801373,29.792297566048006,30.00043327936235,30.09255760438366,29.66017152496097,-3.7519431023332928
1200,30.66429254022429,29.11389396384688,29.26971796959539,26.41279330612273,29.536063803890396,30.259933812649223,29.786776342629928,30.021294102464452,30.11336189938176,29.521700220326693,-4.009427614107393
1201,30.5507927840078,29.122720750889634,29.261776528086877,26.42413509890615,29.569968567671292,30.265873154964897,29.779624673287127,30.039563355526923,30.13116187695906,29.38239288184891,-4.266646868930552
1202,30.44672452462213,29.13010806571969,29.2524057714604,26.435433798543187,29.60219726843376,30.268795224968066,29.770789724819167,30.055258221088387,30.146021744147017,29.242517317207835,-4.522966319764528
1203,30.34616772306193,29.13591208082917,29.241557635168068,26.446677340867097,29.63269571573942,30.268660364380782,29.76022538448255,30.068396650175963,30.158002434255945,29.102148689896783,-4.778601523181334
1204,30.119825938566557,29.140056383452684,29.229163478325297,26.457853037009,29.661478337996492,30.26544155549867,29.74789260786281,30.078998273595555,30.167162224485082,28.961299334873043,-5.034944948674933
1205,29.844539249146738,29.142411848442375,29.215129297922626,26.46894738239111,29.688592962692145,30.259121554677137,29.733757433720772,30.0870829235413,30.173556530052196,28.81995235634073,-5.292042492702991
1206,29.70305460750854,29.143021571691836,29.199415557987503,26.479946997401246,29.714101186897473,30.24969503226448,29.71779389828565,30.092674003866446,30.177239286410703,28.678103270130133,-5.549044767837978
